2025-11-13 10:57:17,New York,USA,40.7128,-74.0060,8.83,64.0,188.58,3.37,Timestamp,City,Country,Latitude,Longitude,Temperature,Humidity,CO,PM2.5
2025-11-14 19:37:15,Ljubljana,Slovenia,46.0569,14.5058,13.58,75.0,199.67,15.75,,,,,,,,,
,,,,,,,,,2025-11-14 19:33:20,New York,USA,40.7128,-74.0060,6.89,63.0,187.27,3.54
,,,,,,,,,2025-11-14 19:33:22,Los Angeles,USA,34.0522,-118.2437,16.13,83.0,104.82,3.13
,,,,,,,,,2025-11-14 19:33:23,Chicago,USA,41.8781,-87.6298,8.32,69.0,207.52,14.84
,,,,,,,,,2025-11-14 19:33:24,Houston,USA,29.7604,-95.3698,19.37,94.0,99.74,1.77
,,,,,,,,,2025-11-14 19:33:26,Phoenix,USA,33.4484,-112.0740,16.01,41.0,115.52,20.2
,,,,,,,,,2025-11-14 19:33:27,London,UK,51.5074,-0.1278,13.85,95.0,122.14,10.31
,,,,,,,,,2025-11-14 19:33:28,Manchester,UK,53.4808,-2.2426,8.06,83.0,112.46,0.86
,,,,,,,,,2025-11-14 19:33:30,Birmingham,UK,52.4862,-1.8904,8.59,95.0,140.89,4.75
,,,,,,,,,2025-11-14 19:33:31,Paris,France,48.8566,2.3522,19.54,64.0,114.65,7.51
,,,,,,,,,2025-11-14 19:33:32,Lyon,France,45.7640,4.8357,18.21,53.0,102.34,10.71
,,,,,,,,,2025-11-14 19:33:34,Berlin,Germany,52.5200,13.4050,12.0,82.0,175.81,6.95
,,,,,,,,,2025-11-14 19:33:35,Munich,Germany,48.1351,11.5820,18.36,58.0,140.83,8.06
,,,,,,,,,2025-11-14 19:33:36,Tokyo,Japan,35.6895,139.6917,14.9,55.0,182.28,10.32
,,,,,,,,,2025-11-14 19:33:38,Osaka,Japan,34.6937,135.5023,12.93,76.0,216.25,17.43
,,,,,,,,,2025-11-14 19:33:39,Seoul,South Korea,37.5665,126.9780,5.76,87.0,224.86,12.74
,,,,,,,,,2025-11-14 19:33:40,Busan,South Korea,35.1796,129.0756,7.91,66.0,225.42,12.01
,,,,,,,,,2025-11-14 19:33:42,Beijing,China,39.9042,116.4074,3.92,32.0,2435.93,311.82
,,,,,,,,,2025-11-14 19:33:43,Shanghai,China,31.2304,121.4737,14.95,63.0,1288.27,122.21
,,,,,,,,,2025-11-14 19:33:45,Delhi,India,28.7041,77.1025,19.06,52.0,568.13,46.74
,,,,,,,,,2025-11-14 19:33:46,Mumbai,India,19.0760,72.8777,29.0,51.0,377.0,106.52
,,,,,,,,,2025-11-14 19:33:47,Bangalore,India,12.9716,77.5946,22.35,69.0,435.96,33.39
